image,title,quantity,price
"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/images/products/sliding_image/3471a.jpg?ts=1703942181",Yakult Probiotic Drink,,₹90
,,,
"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/images/products/sliding_image/382243a.jpg?ts=1703942450",Yakult Light Probiotic Drink,,₹100
,,,
"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/5b7c36c2-adb3-4815-b36d-8e334f69c48d.jpg?ts=1722156101",Yakult Light Mango Probiotic Fermented Milk Drink,,₹100
,,,
"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7f504951-2ca0-449e-b170-fc951001d050.jpg?ts=1745584404",Storia Tender Concentrate Coconut Water,,₹99
,,,
"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/800a57e3-8487-480d-b7ed-55732f470e9b.jpg?ts=1743140204",Real Activ Cranberry Juice,,₹139
,,,
"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/cfb25616-e69f-4186-9bee-7064d01a5fdd.jpg?ts=1744090056",Twinings Lemon & Honey Green Tea Bags,,₹199
,,,
"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/images/products/sliding_image/498148a.jpg?ts=1703942453",Krishi Cress Cleanse Kombucha,,₹252
,,,
"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/620333a9-2a0b-47fd-a600-ef127e3516c5.jpg?ts=1725621937",Urban Platter Unsweetened Coconut Milk,,₹119
,,,
"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/9734089f-7356-4df8-9e7b-b11b46dc35b4.jpg?ts=1712912544",paper boat Swing Concentrate Tender Coconut Water Drink,1.2 ltr,₹90
,,,
,Lipton Lemon Zest Green Tea Bags,,₹159
,,,
,Krishi Cress Mango Turmeric Kombucha,,₹252
,,,
,Tetley Lemon & Honey Green Tea Bags,25 pieces,₹149
,,,
,Raw Pressery Alphonso Mango Drink,200 ml,₹58
,,,
,Lipton Clear & Light Green Tea Bags,,₹324
,,,
,Real Fruit Power Tomato Juice,,₹117
,,,
,Raw Pressery Iced Green Tea (Lemon),250 ml,₹45
,,,
,Zandu Himalayan Apple Cider Vinegar,,₹195
,,,
,Storia Pomegranate Juice - No Added Sugar,,₹128
,,,
,Real Activ Pomegranate Juice,,₹129
,,,
,Fortune Instant Refreshment Chana Sattu,,₹85
,,,
,Patanjali Amla Herbal Juice,,₹150
,,,
,Flurys Pure Chamomile Organic Tea Bags,,₹187
,,,
,Evocus Black Alkaline Water Drink,,₹100
,,,
,Storia Tender Concentrate Coconut Water - No Added Sugar,,₹55
,,,
